iteration; levels; best; avg; dev
0; 1; 17; 0; 0
1; 1; 17; 17; 0
2; 2; 16; 17; 0
3; 3; 16; 16.5; 0
4; 3; 16; 16.5; 0.166667
5; 4; 16; 16.7222; 0.379357
6; 5; 16; 16.5208; 0.320944
7; 6; 16; 16.41; 0.230791
8; 7; 16; 16.3111; 0.183699
9; 7; 15; 16.2687; 0.144019
10; 8; 15; 16.0871; 0.390197
11; 9; 15; 15.8962; 0.371329
12; 10; 15; 15.8002; 0.32187
13; 11; 15; 15.6718; 0.30107
14; 12; 15; 15.5874; 0.267075
15; 13; 15; 15.5368; 0.237207
16; 14; 14; 15.4867; 0.210506
17; 14; 14; 15.2883; 0.319344
18; 15; 14; 15.327; 0.359308
19; 16; 14; 15.2201; 0.344644
20; 16; 14; 15.1458; 0.318969
21; 17; 14; 15.1184; 0.316081
22; 17; 14; 15.0523; 0.294278
23; 18; 14; 15.0452; 0.28667
24; 18; 14; 14.9763; 0.2658
25; 18; 14; 14.9708; 0.262189
26; 18; 14; 14.9706; 0.259451
27; 18; 14; 14.9687; 0.255442
28; 18; 14; 14.9623; 0.251834
29; 18; 14; 14.9516; 0.244661
30; 18; 14; 14.9394; 0.239333
31; 18; 14; 14.9347; 0.233776
32; 18; 14; 14.9347; 0.231793
33; 18; 14; 14.9333; 0.228847
34; 18; 14; 14.9326; 0.226547
35; 18; 14; 14.9263; 0.222838
36; 18; 14; 14.9242; 0.219307
37; 18; 14; 14.9216; 0.215683
38; 18; 14; 14.9195; 0.212315
39; 18; 14; 14.9191; 0.210421
40; 18; 14; 14.9179; 0.207996
41; 18; 14; 14.9173; 0.206307
42; 18; 14; 14.9158; 0.203407
43; 18; 14; 14.9146; 0.200658
44; 18; 14; 14.9132; 0.198009
45; 18; 14; 14.9122; 0.195758
46; 19; 14; 14.9118; 0.194147
47; 19; 14; 14.8633; 0.182643
48; 19; 14; 14.863; 0.180598
49; 19; 14; 14.863; 0.17991
50; 19; 14; 14.863; 0.179315
51; 19; 14; 14.8623; 0.177519
52; 20; 14; 14.8612; 0.175365
53; 20; 14; 14.8176; 0.165011
54; 20; 14; 14.8171; 0.16335
55; 20; 14; 14.8166; 0.161874
56; 21; 14; 14.8132; 0.160753
57; 22; 14; 14.7744; 0.152329
58; 22; 14; 14.7391; 0.144365
59; 22; 13; 14.7382; 0.144657
60; 22; 13; 14.697; 0.231794
61; 22; 13; 14.697; 0.234662
62; 22; 13; 14.697; 0.234209
63; 22; 13; 14.6969; 0.233625
64; 22; 13; 14.6969; 0.232707
65; 23; 13; 14.697; 0.232075
66; 23; 13; 14.6641; 0.220174
67; 23; 13; 14.6639; 0.218476
68; 23; 13; 14.6278; 0.248803
69; 23; 13; 14.6274; 0.248955
70; 24; 13; 14.6273; 0.24789
71; 24; 13; 14.5524; 0.237837
72; 24; 13; 14.5327; 0.256685
73; 24; 13; 14.5216; 0.257568
74; 25; 13; 14.5215; 0.256893
75; 25; 13; 14.4537; 0.245675
76; 26; 13; 14.4535; 0.244649
77; 26; 13; 14.3974; 0.23427
78; 26; 13; 14.3934; 0.233185
79; 26; 13; 14.3933; 0.232269
80; 26; 13; 14.3879; 0.231134
81; 27; 13; 14.3827; 0.229272
82; 27; 13; 14.3296; 0.219495
83; 27; 13; 14.3241; 0.216633
84; 28; 13; 14.3229; 0.215181
85; 28; 13; 14.2739; 0.206156
86; 29; 13; 14.2715; 0.204613
87; 29; 13; 14.2228; 0.196339
88; 29; 13; 14.2218; 0.194814
89; 29; 13; 14.2192; 0.192651
90; 29; 13; 14.2191; 0.191964
91; 30; 13; 14.2175; 0.190637
92; 30; 13; 14.1757; 0.182867
93; 30; 13; 14.1738; 0.180746
94; 30; 13; 14.1707; 0.189254
95; 30; 13; 14.168; 0.192476
96; 30; 13; 14.1672; 0.191632
97; 30; 13; 14.1666; 0.190625
98; 30; 13; 14.1666; 0.190334
99; 30; 13; 14.1664; 0.189767
100; 30; 13; 14.1611; 0.191547
101; 31; 13; 14.1608; 0.191056
102; 31; 13; 14.1233; 0.184454
103; 31; 13; 14.1234; 0.18397
104; 31; 13; 14.121; 0.183747
105; 31; 13; 14.121; 0.183498
106; 32; 13; 14.1189; 0.182735
107; 32; 13; 14.0832; 0.176026
108; 32; 13; 14.0819; 0.174829
109; 32; 13; 14.0799; 0.173826
110; 33; 13; 14.0796; 0.173017
111; 33; 13; 14.0459; 0.167176
112; 34; 13; 14.0451; 0.166492
113; 34; 13; 14.0144; 0.161349
114; 35; 13; 14.0137; 0.160516
115; 35; 13; 13.9847; 0.155591
116; 35; 13; 13.9843; 0.154897
117; 35; 13; 13.9843; 0.154641
118; 35; 13; 13.983; 0.153852
119; 35; 13; 13.9803; 0.159943
120; 35; 13; 13.9801; 0.159672
121; 35; 13; 13.9795; 0.159149
122; 35; 13; 13.9795; 0.158962
123; 35; 13; 13.9785; 0.157907
124; 35; 13; 13.9777; 0.156939
125; 35; 13; 13.977; 0.156034
126; 36; 13; 13.9769; 0.155721
127; 36; 13; 13.9493; 0.150669
128; 36; 13; 13.9492; 0.150137
129; 36; 13; 13.9483; 0.149665
130; 36; 13; 13.9483; 0.149512
131; 36; 13; 13.9475; 0.149014
132; 36; 13; 13.9475; 0.14889
133; 37; 13; 13.9469; 0.149001
134; 37; 13; 13.9206; 0.144136
135; 38; 13; 13.9206; 0.143899
136; 38; 13; 13.8956; 0.139135
137; 38; 13; 13.8952; 0.139057
138; 38; 13; 13.8946; 0.139204
139; 38; 13; 13.8945; 0.139052
140; 38; 13; 13.894; 0.139403
141; 39; 13; 13.894; 0.139236
142; 39; 13; 13.871; 0.135414
143; 39; 13; 13.8709; 0.13505
144; 39; 13; 13.8706; 0.134558
145; 39; 13; 13.8706; 0.134383
146; 39; 13; 13.8703; 0.133982
147; 39; 13; 13.8702; 0.13375
148; 40; 13; 13.8701; 0.133437
149; 41; 13; 13.8481; 0.129704
150; 42; 13; 13.8273; 0.12623
151; 42; 13; 13.8074; 0.122768
152; 42; 13; 13.8068; 0.122547
153; 42; 13; 13.8067; 0.122286
154; 42; 13; 13.8067; 0.122113
155; 42; 13; 13.8059; 0.1215
156; 42; 13; 13.8058; 0.121781
157; 42; 13; 13.8058; 0.121675
158; 42; 13; 13.8056; 0.121298
159; 42; 13; 13.8055; 0.121065
160; 42; 13; 13.8054; 0.120731
161; 42; 13; 13.8052; 0.120437
162; 42; 13; 13.805; 0.120112
163; 43; 13; 13.8049; 0.119793
164; 43; 13; 13.7861; 0.116739
165; 43; 13; 13.7856; 0.116299
166; 43; 13; 13.7834; 0.119298
167; 43; 13; 13.7834; 0.119269
168; 43; 13; 13.7834; 0.119205
169; 43; 13; 13.7833; 0.119007
170; 43; 13; 13.7832; 0.118743
171; 43; 13; 13.7814; 0.11851
172; 43; 13; 13.7805; 0.118691
173; 43; 13; 13.7805; 0.118458
174; 43; 13; 13.7803; 0.118578
175; 43; 13; 13.7793; 0.117917
176; 43; 13; 13.7791; 0.117623
177; 43; 13; 13.7786; 0.117132
178; 43; 13; 13.7784; 0.116863
179; 43; 13; 13.7783; 0.11666
180; 43; 13; 13.7783; 0.116492
181; 43; 13; 13.7779; 0.116185
182; 43; 13; 13.7779; 0.115962
183; 43; 13; 13.7774; 0.115606
184; 43; 13; 13.7771; 0.115304
185; 43; 13; 13.777; 0.115042
186; 44; 13; 13.7765; 0.114545
187; 44; 13; 13.7586; 0.111496
188; 44; 13; 13.7573; 0.114593
189; 44; 13; 13.7569; 0.11424
190; 44; 13; 13.7569; 0.114122
191; 44; 13; 13.7568; 0.113935
192; 45; 13; 13.7565; 0.113656
193; 46; 13; 13.7397; 0.110938
194; 46; 13; 13.7234; 0.108135
195; 46; 13; 13.7229; 0.107601
196; 46; 13; 13.7228; 0.107408
197; 46; 13; 13.7227; 0.107259
198; 46; 13; 13.7227; 0.107161
199; 46; 13; 13.7227; 0.107075
200; 46; 13; 13.7196; 0.111467
201; 46; 13; 13.7196; 0.111434
202; 46; 13; 13.7194; 0.111161
203; 46; 13; 13.7192; 0.110854
204; 46; 13; 13.719; 0.110945
205; 46; 13; 13.7188; 0.110618
206; 46; 13; 13.7173; 0.111771
207; 46; 13; 13.7173; 0.111622
208; 46; 13; 13.7171; 0.111394
209; 46; 13; 13.717; 0.111121
210; 46; 13; 13.7166; 0.111247
211; 46; 13; 13.7166; 0.11106
212; 46; 13; 13.7161; 0.111388
213; 46; 13; 13.7161; 0.111266
214; 46; 13; 13.716; 0.111093
215; 46; 13; 13.7159; 0.110913
216; 46; 13; 13.7159; 0.110831
217; 46; 13; 13.7155; 0.111053
218; 46; 13; 13.7155; 0.111008
219; 47; 13; 13.7154; 0.11078
220; 47; 13; 13.7; 0.108215
221; 47; 13; 13.7; 0.108091
222; 47; 13; 13.7; 0.108
223; 47; 13; 13.7; 0.107905
224; 47; 13; 13.7; 0.107834
225; 47; 13; 13.7; 0.107792
226; 47; 13; 13.6999; 0.107619
227; 47; 13; 13.6985; 0.108489
228; 47; 13; 13.6984; 0.108239
229; 47; 13; 13.6983; 0.108017
230; 47; 13; 13.6982; 0.108138
231; 47; 13; 13.6981; 0.107969
232; 47; 13; 13.698; 0.1078
233; 47; 13; 13.6969; 0.109113
234; 47; 13; 13.6958; 0.109511
235; 47; 13; 13.6949; 0.111483
236; 47; 13; 13.6949; 0.111461
237; 47; 13; 13.6938; 0.112697
238; 47; 13; 13.6929; 0.113235
239; 47; 13; 13.6929; 0.113185
240; 47; 13; 13.6919; 0.113831
241; 47; 13; 13.6919; 0.113732
242; 47; 13; 13.6916; 0.113454
243; 47; 13; 13.6916; 0.113383
244; 48; 13; 13.69; 0.114025
245; 48; 13; 13.6754; 0.111418
246; 48; 13; 13.6754; 0.111258
247; 48; 13; 13.6754; 0.111162
248; 48; 13; 13.6748; 0.111019
249; 48; 13; 13.6748; 0.110933
250; 49; 13; 13.6748; 0.110874
251; 49; 13; 13.6604; 0.108825
252; 49; 13; 13.6604; 0.108746
253; 49; 13; 13.66; 0.108707
254; 49; 13; 13.66; 0.108641
255; 50; 13; 13.66; 0.108568
256; 50; 13; 13.6466; 0.106224
257; 50; 13; 13.6465; 0.105935
258; 50; 13; 13.646; 0.106145
259; 50; 13; 13.6456; 0.106068
260; 50; 13; 13.6456; 0.105938
261; 50; 13; 13.6455; 0.10587
262; 50; 13; 13.6449; 0.105974
263; 50; 13; 13.6443; 0.106506
264; 50; 13; 13.6436; 0.106866
265; 51; 13; 13.6423; 0.107506
266; 51; 13; 13.629; 0.105604
267; 51; 13; 13.629; 0.105497
268; 51; 13; 13.6289; 0.105407
269; 51; 13; 13.6289; 0.10533
270; 51; 13; 13.6287; 0.105447
271; 51; 13; 13.6287; 0.105384
272; 51; 13; 13.6282; 0.105441
273; 51; 13; 13.6281; 0.105326
274; 51; 13; 13.6276; 0.105749
275; 51; 13; 13.6266; 0.106831
276; 51; 13; 13.6266; 0.106818
277; 52; 13; 13.6266; 0.10676
278; 52; 13; 13.6141; 0.104719
279; 52; 13; 13.6139; 0.10484
280; 52; 13; 13.6139; 0.104701
281; 53; 13; 13.6138; 0.10457
282; 53; 13; 13.602; 0.102416
283; 53; 13; 13.6013; 0.102447
284; 53; 13; 13.6013; 0.102413
285; 53; 13; 13.601; 0.102553
286; 53; 13; 13.601; 0.102481
287; 54; 13; 13.6001; 0.103973
288; 55; 13; 13.5886; 0.102091
289; 55; 13; 13.5777; 0.100237
290; 55; 13; 13.5772; 0.100345
291; 56; 13; 13.5768; 0.10034
292; 56; 13; 13.5665; 0.0984996
293; 56; 13; 13.5663; 0.0984348
294; 56; 13; 13.5661; 0.0985079
295; 56; 13; 13.5659; 0.0983955
296; 56; 13; 13.5658; 0.0982806
297; 57; 13; 13.5649; 0.0991399
298; 58; 13; 13.5544; 0.0981409
299; 59; 13; 13.5448; 0.0963212
300; 59; 13; 13.5356; 0.0946224
301; 59; 13; 13.5351; 0.0946736
302; 60; 13; 13.5351; 0.0946057
303; 61; 13; 13.526; 0.0930587
304; 61; 13; 13.5174; 0.0914745
305; 61; 13; 13.5169; 0.0914376
306; 61; 13; 13.5165; 0.0913361
307; 61; 13; 13.5164; 0.091218
308; 62; 12; 13.5162; 0.091059
309; 62; 12; 13.4885; 0.105414
310; 62; 12; 13.4886; 0.105323
311; 63; 12; 13.4964; 0.113232
312; 63; 12; 13.4728; 0.111272
313; 63; 12; 13.4729; 0.110993
314; 63; 12; 13.4806; 0.118993
315; 63; 12; 13.4803; 0.118998
316; 63; 12; 13.4803; 0.118974
317; 63; 12; 13.4804; 0.118748
318; 63; 12; 13.48; 0.118737
319; 63; 12; 13.4798; 0.118714
320; 63; 12; 13.4796; 0.11851
321; 63; 12; 13.4797; 0.118369
322; 63; 12; 13.4741; 0.130394
323; 63; 12; 13.4737; 0.131016
324; 63; 12; 13.4737; 0.130768
325; 63; 12; 13.4737; 0.130585
326; 63; 12; 13.4737; 0.130477
327; 63; 12; 13.4736; 0.130251
328; 63; 12; 13.4734; 0.130101
329; 63; 12; 13.4714; 0.138788
330; 63; 12; 13.4715; 0.1387
331; 63; 12; 13.4713; 0.138627
332; 63; 12; 13.4667; 0.147097
333; 64; 12; 13.4693; 0.146655
334; 64; 12; 13.4477; 0.143539
335; 65; 12; 13.4562; 0.150623
336; 65; 12; 13.434; 0.14818
337; 65; 12; 13.4335; 0.147052
338; 65; 12; 13.4413; 0.154494
