iteration; subpops; biggest_subpop; best; avg; dev
0; 1; 2; 26; 26.5; 0.5
1; 1; 2; 26; 26.5; 1
2; 1; 2; 26; 26.5; 1.5
3; 1; 2; 26; 26.5; 2
4; 2; 4; 25; 26.5; 1.68301
5; 2; 4; 25; 26.5; 1.52452
6; 2; 4; 25; 26.5; 1.44527
7; 2; 4; 25; 26.5; 1.40565
8; 2; 4; 25; 26.5; 1.38584
9; 2; 4; 25; 26.5; 1.69292
10; 2; 4; 25; 26.25; 1.59646
11; 2; 4; 25; 26.25; 1.54823
12; 2; 4; 25; 26.25; 1.52411
13; 2; 4; 25; 26.25; 1.51206
14; 2; 4; 25; 25.5; 0.756029
15; 2; 4; 25; 25.5; 0.378014
16; 3; 8; 25; 25.8333; 0.678776
17; 3; 8; 25; 25.8333; 0.779029
18; 3; 8; 25; 25.8333; 0.812447
19; 3; 8; 25; 25.8333; 0.823587
20; 3; 8; 24; 25.2917; 0.42476
21; 3; 8; 24; 25.25; 0.453391
22; 3; 8; 23; 24.9583; 0.26137
23; 4; 16; 23; 25.2969; 0.497058
24; 4; 16; 23; 25.2969; 0.585974
25; 4; 16; 23; 25.2656; 0.635284
26; 4; 16; 23; 25.2031; 0.684634
27; 4; 16; 22; 25.0469; 0.602874
28; 4; 16; 22; 24.7031; 0.447067
29; 4; 16; 22; 24.7031; 0.481685
30; 4; 16; 22; 24.6094; 0.45909
31; 4; 16; 22; 24.4531; 0.423989
32; 4; 16; 22; 24.4219; 0.527872
33; 5; 32; 22; 24.8562; 0.79246
34; 5; 32; 22; 24.6187; 0.678588
35; 5; 32; 22; 24.5938; 0.675242
36; 5; 32; 22; 24.5688; 0.6905
37; 5; 32; 22; 24.5312; 0.740068
38; 5; 32; 22; 24.2; 0.613095
39; 5; 32; 21; 24.0625; 0.587188
40; 5; 32; 21; 23.9375; 0.479938
41; 5; 32; 21; 23.8875; 0.458488
42; 5; 32; 20; 23.875; 0.45261
43; 5; 32; 20; 23.7875; 0.555162
44; 5; 32; 20; 23.7875; 0.609228
45; 5; 32; 20; 23.7625; 0.680046
46; 5; 32; 20; 23.65; 0.613474
47; 5; 32; 20; 23.6125; 0.593409
48; 5; 32; 20; 23.3; 0.383565
49; 5; 32; 19; 23.275; 0.369078
50; 5; 32; 19; 23.25; 0.395315
51; 5; 32; 19; 23.2; 0.423508
52; 5; 32; 18; 23.075; 0.400425
53; 6; 64; 18; 23.6589; 0.535965
54; 6; 64; 18; 23.612; 0.584754
55; 6; 64; 18; 23.5703; 0.601149
56; 6; 64; 18; 23.4557; 0.549687
57; 6; 64; 18; 23.4349; 0.611015
58; 6; 64; 18; 23.3255; 0.596581
59; 6; 64; 18; 23.1875; 0.592176
60; 6; 64; 18; 23.1615; 0.645984
61; 6; 64; 18; 23.0833; 0.664213
62; 6; 64; 18; 23.0573; 0.735753
63; 6; 64; 18; 22.9323; 0.615495
64; 6; 64; 18; 22.8906; 0.658125
65; 6; 64; 18; 22.7812; 0.606886
66; 6; 64; 18; 22.7656; 0.624038
67; 6; 64; 18; 22.7396; 0.669852
68; 6; 64; 17; 22.651; 0.645736
69; 6; 64; 17; 22.6016; 0.751571
70; 6; 64; 17; 22.5964; 0.787513
71; 6; 64; 17; 22.5807; 0.835779
72; 6; 64; 16; 22.5339; 0.851568
73; 6; 64; 16; 22.5234; 0.89115
74; 7; 128; 16; 23.0926; 0.928916
75; 7; 128; 16; 22.7712; 0.718121
76; 7; 128; 16; 22.6953; 0.696498
77; 7; 128; 16; 22.6663; 0.749951
78; 7; 128; 16; 22.5056; 0.622169
79; 7; 128; 16; 22.4051; 0.641022
80; 7; 128; 16; 22.385; 0.699563
81; 7; 128; 16; 22.3315; 0.703435
82; 7; 128; 16; 22.3248; 0.769457
83; 7; 128; 16; 22.269; 0.77198
84; 7; 128; 16; 22.2065; 0.827018
85; 7; 128; 16; 22.2042; 0.851628
86; 7; 128; 16; 22.1931; 0.904736
87; 7; 128; 16; 22.1507; 0.93297
88; 7; 128; 16; 22.0413; 0.916544
89; 7; 128; 16; 21.9911; 1.0311
90; 7; 128; 16; 21.9844; 1.07375
91; 7; 128; 16; 21.9554; 1.10763
92; 7; 128; 16; 21.8281; 1.08738
93; 7; 128; 16; 21.8192; 1.10848
94; 8; 256; 16; 22.4092; 1.08093
95; 8; 256; 16; 22.2559; 1.08335
96; 8; 256; 16; 22.2266; 1.11196
97; 8; 256; 16; 22.1699; 0.991463
98; 8; 256; 16; 22.0332; 0.839682
99; 8; 256; 16; 22.0332; 0.820709
100; 8; 256; 16; 21.9863; 0.851634
101; 8; 256; 16; 21.9863; 0.855499
102; 8; 256; 16; 21.9863; 0.855982
103; 8; 256; 16; 21.9863; 0.856043
104; 8; 256; 16; 21.9863; 0.85605
105; 8; 256; 16; 21.9521; 0.865386
106; 8; 256; 16; 21.9521; 0.866553
107; 8; 256; 16; 21.9521; 0.866699
108; 8; 256; 16; 21.9521; 0.866717
109; 8; 256; 16; 21.9521; 0.866719
110; 8; 256; 16; 21.9434; 0.886101
111; 8; 256; 16; 21.9434; 0.888524
112; 8; 256; 16; 21.9434; 0.888827
113; 8; 256; 16; 21.9434; 0.888865
114; 8; 256; 16; 21.9434; 0.88887
115; 8; 256; 16; 21.9258; 0.922261
116; 8; 256; 16; 21.9092; 1.02383
117; 8; 256; 16; 21.9092; 1.05215
118; 8; 256; 15; 21.9072; 1.07451
119; 8; 256; 15; 21.8994; 1.08929
120; 8; 256; 15; 21.8896; 1.10585
121; 8; 256; 15; 21.6104; 1.0213
122; 8; 256; 15; 21.5908; 1.02653
123; 8; 256; 15; 21.5361; 0.981491
124; 8; 256; 15; 21.5049; 0.944611
125; 8; 256; 15; 21.5049; 0.962098
126; 8; 256; 15; 21.5029; 0.973502
127; 8; 256; 14; 21.499; 0.97458
128; 8; 256; 14; 21.499; 0.979459
129; 8; 256; 14; 21.4971; 0.979996
130; 8; 256; 14; 21.4971; 0.998649
131; 8; 256; 14; 21.4834; 1.04116
132; 8; 256; 14; 21.4717; 1.06035
133; 8; 256; 14; 21.4541; 1.06463
134; 8; 256; 14; 21.4443; 1.07343
135; 8; 256; 14; 21.4111; 1.05673
136; 8; 256; 14; 21.3965; 1.07594
137; 8; 256; 14; 21.3301; 1.07551
138; 8; 256; 14; 21.2969; 1.03789
139; 8; 256; 14; 21.2832; 1.01952
140; 8; 256; 14; 21.2832; 1.01722
141; 8; 256; 14; 21.2832; 1.01694
142; 8; 256; 14; 21.2803; 1.03445
143; 8; 256; 14; 21.2803; 1.03664
144; 8; 256; 14; 21.2803; 1.03691
145; 8; 256; 14; 21.2803; 1.05257
146; 8; 256; 13; 21.2783; 1.06973
147; 8; 256; 13; 21.2529; 1.1017
148; 8; 256; 13; 21.2471; 1.11152
149; 8; 256; 13; 21.2432; 1.11763
150; 8; 256; 13; 21.2393; 1.13155
151; 8; 256; 13; 21.2256; 1.14059
152; 8; 256; 13; 21.1162; 0.891429
153; 8; 256; 13; 21.1006; 0.864279
154; 8; 256; 13; 21.0791; 0.853505
155; 8; 256; 13; 21.0205; 0.809189
156; 8; 256; 12; 21.0186; 0.809861
157; 8; 256; 12; 21.0117; 0.831392
158; 8; 256; 12; 20.7676; 0.61164
159; 8; 256; 12; 20.7656; 0.607888
160; 8; 256; 12; 20.7627; 0.624242
161; 8; 256; 12; 20.7539; 0.654161
162; 8; 256; 12; 20.7236; 0.665477
163; 9; 512; 12; 21.3659; 0.699785
164; 9; 512; 12; 21.3602; 0.842523
165; 9; 512; 12; 21.3151; 0.82268
